sent_id	word_id	word	word_is_unique	scene_name	objectname	word_class
1	1	Mr.	0			
1	2	Sherlock	0			
1	3	Holmes	0			
2	1	Mr.	0	room		
2	2	Sherlock	0	room		
2	3	Holmes	0	room	Sherlock Holmes	Physical
2	4	,	0	room		
2	5	who	0	room		
2	6	was	0	room		NoMotion
2	7	usually	0	room		
2	8	very	0	room		
2	9	late	0	room		
2	10	in	0	room		
2	11	the	0	room		
2	12	mornings	1	room		
2	13	,	0	room		
2	14	save	0	room		NoMotion
2	15	upon	0	room		
2	16	those	0	room		
2	17	not	0	room		
2	18	infrequent	1	room		
2	19	occasions	0	room		
2	20	when	0	room		
2	21	he	0	room	Sherlock Holmes	Physical
2	22	was	0	room		NoMotion
2	23	up	0	room		
2	24	all	0	room		
2	25	night	0	room		
2	26	,	0	room		
2	27	was	0	room		NoMotion
2	28	seated	1	room		NoMotion
2	29	at	0	room		
2	30	the	0	room		
2	31	breakfast	0	room		
2	32	table	0	room	table	Physical
2	33	.	0	room		
3	1	I	0	room	Dr. Watson	Physical
3	2	stood	0	room		NoMotion
3	3	upon	0	room		
3	4	the	0	room		
3	5	hearth-rug	1	room	hearth-rug	Physical
3	6	and	0	room		
3	7	picked	0	room		InMotion
3	8	up	0	room		
3	9	the	0	room		
3	10	stick	0	room	stick	Physical
3	11	which	0	room		
3	12	our	0	room		
3	13	visitor	0	room	James Mortimer	Physical
3	14	had	0	room		
3	15	left	0	room		NoMotion
3	16	behind	0	room		
3	17	him	0	room		
3	18	the	0	room		
3	19	night	0	room		
3	20	before	0	room		
3	21	.	0	room		
4	1	It	0	room	stick	Physical
4	2	was	0	room		NoMotion
4	3	a	0	room		
4	4	fine	0	room		
4	5	,	0	room		
4	6	thick	0	room		
4	7	piece	0	room		
4	8	of	0	room		
4	9	wood	0	room		
4	10	,	0	room		
4	11	bulbous-headed	1	room		
4	12	,	0	room		
4	13	of	0	room		
4	14	the	0	room		
4	15	sort	0	room	sort	Abstract
4	16	which	0	room		
4	17	is	0	room		
4	18	known	0	room		NoMotion
4	19	as	0	room		
4	20	a	0	room		
5	1	``	0	room		
5	2	Penang	1	room		
5	3	lawyer	0	room		
5	4	.	0	room		
5	5	''	0	room		
6	1	Just	0	room		
6	2	under	0	room		
6	3	the	0	room		
6	4	head	0	room	head	Physical
6	5	was	0	room		NoMotion
6	6	a	0	room		
6	7	broad	0	room		
6	8	silver	0	room		
6	9	band	0	room	band	Physical
6	10	nearly	0	room		
6	11	an	0	room		
6	12	inch	0	room		
6	13	across	0	room		
6	14	.	0	room		
7	1	``	0	room		
7	2	To	0	room		
7	3	James	0	room		
7	4	Mortimer	0	room		
7	5	,	0	room		
7	6	M.R.C.S.	0	room		
7	7	,	0	room		
7	8	from	0	room		
7	9	his	0	room		
7	10	friends	0	room		
7	11	of	0	room		
7	12	the	0	room		
7	13	C.C.H.	1	room		
7	14	,	0	room		
7	15	''	0	room		
8	1	was	0	room		
8	2	engraved	1	room		NoMotion
8	3	upon	0	room		
8	4	it	0	room	band	Physical
8	5	,	0	room		
8	6	with	0	room		
8	7	the	0	room		
8	8	date	0	room		
9	1	``	0	room		
9	2	1884	0	room		
9	3	.	0	room		
9	4	''	0	room		
10	1	It	0	room	stick	Physical
10	2	was	0	room		NoMotion
10	3	just	0	room		
10	4	such	0	room		
10	5	a	0	room		
10	6	stick	0	room	stick	Physical
10	7	as	0	room		
10	8	the	0	room		
10	9	old-fashioned	0	room		
10	10	family	0	room		
10	11	practitioner	0	room	James Mortimer	Physical
10	12	used	0	room		
10	13	to	0	room		
10	14	carry	0	room		NoMotion
10	15	--	0	room		
10	16	dignified	1	room		
10	17	,	0	room		
10	18	solid	0	room		
10	19	,	0	room		
10	20	and	0	room		
10	21	reassuring	1	room		
10	22	.	0	room		
11	1	``	0	room		
11	2	Well	0	room		
11	3	,	0	room		
11	4	Watson	0	room		
11	5	,	0	room		
11	6	what	0	room		
11	7	do	0	room		
11	8	you	0	room	Dr. Watson	Physical
11	9	make	0	room		NoMotion
11	10	of	0	room		
11	11	it	0	room	stick	Physical
11	12	?	0	room		
11	13	''	0	room		
12	1	Holmes	0	room	Sherlock Holmes	Physical
12	2	was	0	room		
12	3	sitting	0	room		NoMotion
12	4	with	0	room		
12	5	his	0	room		
12	6	back	0	room		
12	7	to	0	room		
12	8	me	0	room		
12	9	,	0	room		
12	10	and	0	room		
12	11	I	0	room	Dr. Watson	Physical
12	12	had	0	room		
12	13	given	0	room		NoMotion
12	14	him	0	room	Sherlock Holmes	Physical
12	15	no	0	room		
12	16	sign	0	room	sign	Abstract
12	17	of	0	room		
12	18	my	0	room		
12	19	occupation	1	room		
12	20	.	0	room		
13	1	``	0	room		
13	2	How	0	room		
13	3	did	0	room		
13	4	you	0	room	Sherlock Holmes	Physical
13	5	know	0	room		NoMotion
13	6	what	0	room		
13	7	I	0	room		
13	8	was	0	room		
13	9	doing	0	room		
13	10	?	0	room		
14	1	I	0	room	Dr. Watson	Physical
14	2	believe	0	room		NoMotion
14	3	you	0	room		
14	4	have	0	room		
14	5	eyes	0	room	eyes	Physical
14	6	in	0	room		
14	7	the	0	room		
14	8	back	0	room		
14	9	of	0	room		
14	10	your	0	room		
14	11	head	0	room		
14	12	.	0	room		
14	13	''	0	room		
15	1	``	0	room		
15	2	I	0	room	Sherlock Holmes	Physical
15	3	have	0	room		NoMotion
15	4	,	0	room		
15	5	at	0	room		
15	6	least	0	room		
15	7	,	0	room		
15	8	a	0	room		
15	9	well-polished	1	room		
15	10	,	0	room		
15	11	silver-plated	1	room		
15	12	coffee-pot	1	room	coffee-pot	Physical
15	13	in	0	room		
15	14	front	0	room		
15	15	of	0	room		
15	16	me	0	room		
15	17	,	0	room		
15	18	''	0	room		
16	1	said	0	room		
16	2	he	0	room		
16	3	.	0	room		
17	1	``	0	room		
17	2	But	0	room		
17	3	,	0	room		
17	4	tell	0	room		NoMotion
17	5	me	0	room	Dr. Watson	Physical
17	6	,	0	room		
17	7	Watson	0	room		
17	8	,	0	room		
17	9	what	0	room		
17	10	do	0	room		
17	11	you	0	room	Dr. Watson	Physical
17	12	make	0	room		NoMotion
17	13	of	0	room		
17	14	our	0	room		
17	15	visitor	0	room		
17	16	's	0	room		
17	17	stick	0	room	stick	Physical
17	18	?	0	room		
18	1	Since	0	room		
18	2	we	0	room	Set(Watson)(Holmes)	Physical
18	3	have	0	room		
18	4	been	0	room		NoMotion
18	5	so	0	room		
18	6	unfortunate	0	room		
18	7	as	0	room		
18	8	to	0	room		
18	9	miss	0	room		NoMotion
18	10	him	0	room	Mortimer	Physical
18	11	and	0	room		
18	12	have	0	room		
18	13	no	0	room		
18	14	notion	1	room		
18	15	of	0	room		
18	16	his	0	room		
18	17	errand	0	room		
18	18	,	0	room		
18	19	this	0	room		
18	20	accidental	1	room		
18	21	souvenir	1	room	stick	Physical
18	22	becomes	0	room		NoMotion
18	23	of	0	room		
18	24	importance	0	room	importance	Abstract
18	25	.	0	room		
19	1	Let	0	room		NoMotion
19	2	me	0	room		
19	3	hear	0	room		
19	4	you	0	room		
19	5	reconstruct	1	room		
19	6	the	0	room		
19	7	man	0	room		
19	8	by	0	room		
19	9	an	0	room		
19	10	examination	0	room		
19	11	of	0	room		
19	12	it	0	room		
19	13	.	0	room		
19	14	''	0	room		
20	1	``	0	room		
20	2	I	0	room	Dr. Watson	Physical
20	3	think	0	room		NoMotion
20	4	,	0	room		
20	5	''	0	room		
21	1	said	0	room		NoMotion
21	2	I	0	room	Dr. Watson	Physical
21	3	,	0	room		
21	4	following	0	room		NoMotion
21	5	as	0	room		
21	6	far	0	room		
21	7	as	0	room		
21	8	I	0	room	Dr. Watson	Physical
21	9	could	0	room		
21	10	the	0	room		
21	11	methods	0	room	methods	Abstract
21	12	of	0	room		
21	13	my	0	room		
21	14	companion	0	room		
21	15	,	0	room		
22	1	``	0	room		
22	2	that	0	room		
22	3	Dr.	0	room		
22	4	Mortimer	0	room	James Mortimer	Physical
22	5	is	0	room		NoMotion
22	6	a	0	room		
22	7	successful	1	room		
22	8	,	0	room		
22	9	elderly	0	room		
22	10	medical	0	room		
22	11	man	0	room		
22	12	,	0	room		
22	13	well-esteemed	1	room		
22	14	since	0	room		
22	15	those	0	room		
22	16	who	0	room		
22	17	know	0	room		
22	18	him	0	room		
22	19	give	0	room		
22	20	him	0	room		
22	21	this	0	room		
22	22	mark	0	room		
22	23	of	0	room		
22	24	their	0	room		
22	25	appreciation	0	room		
22	26	.	0	room		
22	27	''	0	room		
23	1	``	0	room		
23	2	Good	0	room		
23	3	!	0	room		
23	4	''	0	room		
24	1	said	0	room		NoMotion
24	2	Holmes	0	room	Sherlock Holmes	Physical
24	3	.	0	room		
25	1	``	0	room		
25	2	Excellent	0	room		
25	3	!	0	room		
25	4	''	0	room		
26	1	``	0	room		
26	2	I	0	room	Dr. Watson	Physical
26	3	think	0	room		NoMotion
26	4	also	0	room		
26	5	that	0	room		
26	6	the	0	room		
26	7	probability	0	room		
26	8	is	0	room		
26	9	in	0	room		
26	10	favour	0	room		
26	11	of	0	room		
26	12	his	0	room		
26	13	being	0	room		
26	14	a	0	room		
26	15	country	0	room		
26	16	practitioner	0	room		
26	17	who	0	room		
26	18	does	0	room		
26	19	a	0	room		
26	20	great	0	room		
26	21	deal	0	room		
26	22	of	0	room		
26	23	his	0	room		
26	24	visiting	1	room		
26	25	on	0	room		
26	26	foot	0	room		
26	27	.	0	room		
26	28	''	0	room		
27	1	``	0	room		
27	2	Why	0	room		
27	3	so	0	room		
27	4	?	0	room		
27	5	''	0	room		
28	1	``	0	room		
28	2	Because	0	room		
28	3	this	0	room		
28	4	stick	0	room	stick	Physical
28	5	,	0	room		
28	6	though	0	room		
28	7	originally	1	room		
28	8	a	0	room		
28	9	very	0	room		
28	10	handsome	0	room		
28	11	one	0	room		
28	12	has	0	room		
28	13	been	0	room		NoMotion
28	14	so	0	room		
28	15	knocked	1	room		
28	16	about	0	room		
28	17	that	0	room		
28	18	I	0	room		
28	19	can	0	room		
28	20	hardly	0	room		
28	21	imagine	0	room		
28	22	a	0	room		
28	23	town	0	room		
28	24	practitioner	0	room		
28	25	carrying	0	room		
28	26	it	0	room		
28	27	.	0	room		
29	1	The	0	room		
29	2	thick-iron	1	room		
29	3	ferrule	1	room	ferrule	
29	4	is	0	room		NoMotion
29	5	worn	0	room		NoMotion
29	6	down	0	room		
29	7	,	0	room		
29	8	so	0	room		
29	9	it	0	room		
29	10	is	0	room		NoMotion
29	11	evident	0	room		Abstract
29	12	that	0	room		
29	13	he	0	room		
29	14	has	0	room		
29	15	done	0	room		
29	16	a	0	room		
29	17	great	0	room		
