Name	Age	Gender	Social Status	Notable Traits	Role	Occupation	First Appearance	Personality Traits	Notable Actions	Relationships	visual_characteristics	clothing_colors	AI_agent_name	book_name	entry_date
Bernard Marx	30s	Male	Alpha-Plus	Short, insecure, jealous	Social Outcast	Sleep-Learning Specialist	Chapter 1	Insecure, Resentful, Jealous, Hypocritical	Attempts to rebel against the World State	Lenina Crowne, Helmholtz Watson	Short stature, angular features, nervous demeanor	Grey suit, white shirt, black tie	Gemini	Brave New World	2024-12-17
John the Savage	20s	Male	Outsider	Moral, passionate, intense	Outsider		Chapter 10	Moral, Intense, Naïve, Impulsive	Rejects the World State's values, attempts to live a pure life	Lenina Crowne, Mustapha Mond	Dark hair, intense eyes, muscular build	Simple, rustic clothing (e.g., tunic, loincloth)	Gemini	Brave New World	2024-12-17
Helmholtz Watson	30s	Male	Alpha-Plus	Intelligent, creative, restless	Intellectual	Lecturer at the College of Emotional Engineering	Chapter 1	Intelligent, Creative, Restless, Disillusioned	Challenges the World State's conformity	Bernard Marx, Mustapha Mond	Tall, handsome, athletic build	Stylish, modern clothing (e.g., sleek suit, bright colors)	Gemini	Brave New World	2024-12-17
Lenina Crowne	20s	Female	Beta	Beautiful, popular, promiscuous	Typical World State Citizen	Vaccination Worker	Chapter 1	Happy, Well-Conditioned, Superficial	Seeks pleasure and conformity	Bernard Marx, John the Savage, Henry Foster	Beautiful, youthful appearance, long blonde hair	Bright, colorful clothing (e.g., short skirts, tank tops)	Gemini	Brave New World	2024-12-17
Mustapha Mond	50s	Male	World Controller	Intelligent, worldly, pragmatic	Ruler	World Controller	Chapter 1	Intelligent, Worldly, Pragmatic, Authoritative	Maintains the stability of the World State	Bernard Marx, John the Savage, Helmholtz Watson	Distinguished, older appearance, sharp features	Formal attire (e.g., dark suit, white shirt, tie)	Gemini	Brave New World	2024-12-17
Fanny Crowne	20s	Female	Beta	Conventional, moralistic	Friend	Vaccination Worker	Chapter 1	Conventional, Moralistic, Supportive	Encourages Lenina to conform to societal norms	Lenina Crowne	Average appearance, kind expression	Simple, practical clothing (e.g., overalls, hairnet)	Gemini	Brave New World	2024-12-17
Henry Foster	20s	Male	Alpha-Plus	Casual, promiscuous	Typical World State Citizen	Fertility Control Officer	Chapter 1	Casual, Promiscuous, Superficial	Engages in casual relationships	Lenina Crowne	Athletic build, handsome features	Casual, stylish clothing (e.g., sports attire, tailored suit)	Gemini	Brave New World	2024-12-17
Benito Hoover	20s	Male	Alpha-Plus	Hairy	Typical World State Citizen	Fertility Control Officer	Chapter 1	Hairy, Superficial	Engages in casual relationships	Lenina Crowne	Hairy, average appearance	Casual, stylish clothing (e.g., sports attire, tailored suit)	Gemini	Brave New World	2024-12-17
Director of Hatcheries and Conditioning	50s	Male	High-Ranking Official	Arrogant, hypocritical	Bureaucrat	Director of Hatcheries and Conditioning	Chapter 1	Arrogant, Hypocritical, Authoritative	Maintains the stability of the World State	Bernard Marx, Linda, John the Savage	Older, imposing figure, stern expression	Formal attire (e.g., dark suit, white shirt, tie)	Gemini	Brave New World	2024-12-17
Linda	40s	Female	Beta-Minus	Aging, addicted to soma	Former World State Citizen		Chapter 10	Aging, Addicted, Desperate	Seeks comfort and escape	John the Savage, Director of Hatcheries and Conditioning	Aging, worn-out appearance, disheveled hair	Drab, worn-out clothing	Gemini	Brave New World	2024-12-17
Warden	40s	Male	Alpha-Minus	Loud, boisterous	Authority Figure	Warden of the Savage Reservation	Chapter 10	Loud, Boisterous, Authoritative	Maintains order in the Savage Reservation	John the Savage	Large, imposing figure, loud voice	Simple, practical clothing (e.g., uniform)	Gemini	Brave New World	2024-12-17
Darwin Bonaparte	30s	Male	Media Personality	Opportunistic, superficial	Filmmaker	Big Game Photographer	Chapter 18	Opportunistic, Superficial, Exploitative	Exploits John the Savage for his own gain	John the Savage	Sleek, modern appearance, confident expression	Stylish, modern clothing (e.g. tailored suit, sunglasses)	Gemini	Brave New World	2024-12-17
Dr. Shaw	30s	Male	Medical Professional	Compassionate, ethical	Physician	Doctor	Chapter 10	Compassionate, Ethical, Practical	Provides medical care to Linda and John	Linda, John the Savage	Kind, empathetic expression, white coat		Gemini	Brave New World	2024-12-17
Dr. Gaffney	50s	Male	Educational Administrator	Conformist, bureaucratic	Educator	Provost of Eton	Chapter 11	Conformist, Bureaucratic, Authoritative	Maintains the educational system of the World State	Bernard Marx, John the Savage	Older, formal appearance, stern expression	Formal attire (e.g. academic gown)	Gemini	Brave New World	2024-12-17
Miss Keate	30s	Female	Educational Administrator	Attractive, flirtatious	Educator	Head Mistress of Eton	Chapter 11	Attractive, Flirtatious, Superficial	Engages in casual relationships	Bernard Marx	Attractive, stylish appearance, flirtatious demeanor	Stylish, modern clothing (e.g. dress, heels)	Gemini	Brave New World	2024-12-17
Victor Frankenstein	30	Male	Upper class	Intelligent, ambitious, obsessive	Protagonist	Scientist	Chapter 1	Driven, guilt-ridden, passionate	Creates the Creature, seeks revenge	Family: Alphonse (father), Caroline (mother), Elizabeth (cousin/wife)	Tall, gaunt, intense eyes	Lab coat, dark colors	Copilot	Frankenstein	2024-12-17
The Creature	2 (appearance of 30)	Male	Outcast	Strong, intelligent, sensitive	Antagonist		Chapter 4	Complex, vengeful, lonely	Kills Victor's loved ones, seeks acceptance	Created by Victor, no family	Stitched skin, towering, grotesque	Shabby, mismatched clothing	Copilot	Frankenstein	2024-12-17
Elizabeth Lavenza	25	Female	Upper class	Kind, gentle, beautiful	Supporting		Chapter 1	Loving, loyal, nurturing	Marries Victor, killed by the Creature	Adopted by the Frankensteins, Victor's wife	Delicate features, fair skin	White dress, pastel colors	Copilot	Frankenstein	2024-12-17
Henry Clerval	30	Male	Middle class	Adventurous, loyal, compassionate	Supporting	Student, later a businessman	Chapter 5	Optimistic, supportive, curious	Travels with Victor, killed by the Creature	Victor's best friend	Handsome, cheerful expression	Travel attire, earthy tones	Copilot	Frankenstein	2024-12-17
Alphonse Frankenstein	50	Male	Upper class	Kind, wise, supportive	Supporting	Magistrate	Chapter 1	Protective, caring, dignified	Supports Victor, dies of grief	Victor's father	Graying hair, dignified appearance	Formal attire, dark colors	Copilot	Frankenstein	2024-12-17
Justine Moritz	22	Female	Lower class	Kind, innocent, devout	Supporting	Servant	Chapter 6	Loyal, pious, gentle	Wrongly executed for William's murder	Servant to the Frankensteins	Plain, modest appearance	Simple dress, muted colors	Copilot	Frankenstein	2024-12-17
William Frankenstein	7	Male	Upper class	Innocent, playful, sweet	Supporting		Chapter 6	Trusting, affectionate	Murdered by the Creature	Victor's younger brother	Childlike, cherubic features	Child's clothing, bright colors	Copilot	Frankenstein	2024-12-17
Sherlock Holmes	27	Male	Middle Class	Highly observant, brilliant deductive skills	Main Character	Consulting Detective	Chapter 1	Analytical, eccentric, aloof	Solves the case of Enoch Drebber	John Watson (friend), Lestrade (colleague)	Tall, lean, sharp features	Deerstalker hat, Inverness cape, dark colors	Copilot	A Study in Scarlet	2024-12-17
Dr. John Watson	35	Male	Middle Class	Brave, loyal, intelligent	Main Character	Doctor, Holmes' companion	Chapter 1	Dependable, empathetic, curious	Assists Holmes in solving the case	Sherlock Holmes (friend), Mary Morstan (later wife)	Average height, mustache, kind eyes	Formal suit, bowler hat, neutral colors	Copilot	A Study in Scarlet	2024-12-17
Inspector Lestrade	40	Male	Middle Class	Persistent, methodical	Supporting Character	Scotland Yard Inspector	Chapter 4	Determined, skeptical, diligent	Works with Holmes on the case	Gregson (colleague), Holmes (colleague)	Short, stocky, stern expression	Police uniform, dark colors	Copilot	A Study in Scarlet	2024-12-17
Jefferson Hope	45	Male	Lower Class	Strong, vengeful, determined	Antagonist	Cab driver	Chapter 5	Resilient, passionate, single-minded	Kills Enoch Drebber and Joseph Stangerson	Enoch Drebber (victim), Lucy Ferrier (love interest)	Large build, rugged appearance	Simple clothes, dark colors	Copilot	A Study in Scarlet	2024-12-17
Enoch Drebber	50	Male	Upper Class	Wealthy, unscrupulous, arrogant	Victim	Businessman	Chapter 3	Manipulative, selfish, cruel	Murdered by Jefferson Hope	Joseph Stangerson (associate), Lucy Ferrier (victim)	Heavyset, imposing figure	Expensive suit, light colors	Copilot	A Study in Scarlet	2024-12-17
Joseph Stangerson	45	Male	Upper Class	Loyal, secretive, ruthless	Victim	Businessman	Chapter 3	Cold, calculating, loyal to Drebber	Murdered by Jefferson Hope	Enoch Drebber (associate)	Tall, thin, stern features	Formal attire, dark colors	Copilot	A Study in Scarlet	2024-12-17
Ishmael	30	Male	Middle Class	Curious, reflective, observant	Main Character	Sailor	Chapter 1	Thoughtful, introspective, adaptable	Survives the voyage and narrates the story	Queequeg (friend), Captain Ahab (captain)	Average height, dark hair, contemplative expression	Simple sailor's attire, neutral colors	Copilot	Moby Dick	2024-12-17
Captain Ahab	58	Male	Upper Class	Obsessive, vengeful, authoritative	Main Antagonist	Captain of the Pequod	Chapter 28	Driven, monomaniacal, charismatic	Leads the hunt for Moby Dick, dies in the pursuit	Starbuck (first mate), Moby Dick (adversary)	Tall, gaunt, with a peg leg and intense eyes	Sea captain's uniform, dark colors	Copilot	Moby Dick	2024-12-17
