frame	frame0	frame1	frame2	frame3	frame4	frame5	frame6	frame7	sent_cn	abst_lv	lemma_example
Abandonment	Event	Objective_influence	Transitive_action	Intentionally_affect	Abandonment				98	4	abandon
Abounding_with	Relation	Basis_for_attribute	Locative_relation	Abounding_with					882	3	paint
Absorb_heat	Event	Transition_to_state	Becoming	Transition_to_a_quality	Absorb_heat				52	4	scorch
Abundance	Attributes	Gradable_attributes	Abundance						62	2	galore
Abusing	Event	Misdeed	Committing_crime	Abusing					71	3	abuse
Access_scenario	Access_scenario								0	0	
Accompaniment	Relation	Accompaniment							68	1	with
Accomplishment	Event	Intentionally_act	Accomplishment						131	2	achieve
Accoutrements	Entity	Artifact	Accoutrements						1172	2	glass
Accuracy	Attributes	Gradable_attributes	Inclination	Accuracy					81	3	inaccurate
Achieving_first	Event	Objective_influence	Transitive_action	Creating	Intentionally_create	Achieving_first			204	5	invention artifact
Active_substance	Entity	Physical_entity	Substance	Active_substance					292	3	agent
Activity	Process	Activity							0	1	
Activity_done_state	State	Process_completed_state	Activity_done_state						10	2	finish
Activity_finish	Event	Process_end	Activity_finish						176	2	completion
Activity_ongoing	Process_continue	Activity_ongoing							162	1	continue
Activity_pause	Event	Process_pause	Activity_pause						130	2	suspend
Activity_paused_state	State	Process_stopped_state	Activity_paused_state						0	2	
Activity_prepare	Event	Eventive_affecting	Activity_prepare						29	2	prepare
Activity_ready_state	State	Process_initial_state	Activity_ready_state						51	2	ready
Activity_resume	Event	Process_resume	Activity_resume						52	2	renew
Activity_start	Event	Process_start	Activity_start						316	2	begin
Activity_stop	Event	Process_stop	Activity_stop						147	2	halt
Actually_occurring_entity	Entity	Actually_occurring_entity							25	1	true
Addiction	Attributes	Gradable_attributes	Addiction						146	2	addict
Adding_up	Amounting_to	Adding_up							18	1	tally
Adducing	Statement	Adducing							85	1	cite
Adjacency	Relation	Basis_for_attribute	Locative_relation	Adjacency					324	3	next to
Adjusting	Event	Objective_influence	Transitive_action	Intentionally_affect	Adjusting				89	4	adjust
Adopt_selection	Deciding	Choosing	Adopt_selection						65	2	assume
Aesthetics	Attributes	Gradable_attributes	Desirability	Aesthetics					124	3	beautiful
Affirm_or_deny	Statement	Affirm_or_deny							179	1	deny
Age	Attributes	Gradable_attributes	Measurable_attributes	Age					623	3	new
Aggregate	Aggregate								1700	0	Community
Aging	Event	Eventive_affecting	Aging						38	2	age
Agree_or_refuse_to_act	Respond_to_proposal	Agree_or_refuse_to_act							83	1	refuse
Agriculture	Event	Intentionally_act	Attempting_and_resolving_scenario	Attempt_obtain_food_scenario	Agriculture				79	4	farm
Aiming	Event	Intentionally_act	Manipulation	Aiming					148	3	target
Alliance	Aggregate	Organization	Alliance						33	2	alliance
Alternatives	Alternatives								40	0	possibility
Alternativity	Alternativity								0	0	
Amalgamation	Reciprocality	Amalgamation							178	1	meld
Amassing	Event	Getting	Amassing						114	2	stockpiling
Ambient_temperature	Attributes	Gradable_attributes	Measurable_attributes	Temperature	Ambient_temperature				72	4	cool
Ammunition	Entity	Artifact	Ammunition						55	2	munitions
Amounting_to	Amounting_to								143	0	total
Animals	Entity	Biological_entity	Animals						27	2	animal
Annoyance	State	Emotions	Emotions_by_stimulus	Annoyance					24	3	annoy
Appeal	Criminal_process	Appeal							17	1	appeal
Appellations	Being_named	Appellations							144	1	General
Apply_heat	Process	Activity	Apply_heat						208	2	bake
Appointing	Event	Objective_influence	Transitive_action	Intentionally_affect	Appointing				83	4	accredit
Architectural_part	Being_included	Part_piece	Part_whole	Shaped_part	Architectural_part				134	4	ceiling
Arithmetic	Reciprocality	Arithmetic							0	1	
Arithmetic_commutative	Reciprocality	Arithmetic	Arithmetic_commutative						0	2	
Arithmetic_non-commutative	Reciprocality	Arithmetic	Arithmetic_non-commutative						0	2	
Armor	Protecting	Armor							44	1	armor
Arraignment	Process	Arraignment							38	1	arraign
Arranging	Event	Objective_influence	Transitive_action	Intentionally_affect	Arranging				145	4	deploy
Arrest	Event	Objective_influence	Transitive_action	Intentionally_affect	Arrest				236	4	arrest
Arriving	Event	Eventive_affecting	Arriving						965	2	come
Arson	Offenses	Arson							36	1	arsonist
Artifact	Entity	Artifact							255	1	technology
Artifact_subpart	Artifact_subpart								1	0	part
Artificiality	Attributes	Gradable_attributes	Artificiality						170	2	bogus
Artistic_style	Attributes	Gradable_attributes	Desirability	Aesthetics	Artistic_style				16	4	sound
Assemble	Event	Come_together	Assemble						7	2	assemble
Assessing	Cogitation	Assessing							228	1	assess
Assigned_location	Locale	Assigned_location							11	1	station
Assistance	Event	Intentionally_act	Assistance						672	2	aid
Asymmetric_reciprocality	Asymmetric_reciprocality								2	0	argue
Atonement	Event	Intentionally_act	Atonement						31	2	atone
Attaching	Event	Objective_influence	Transitive_action	Intentionally_affect	Attaching				474	4	tie
Attack	Event	Objective_influence	Transitive_action	Intentionally_affect	Attack				963	4	bomb
Attempt	Event	Intentionally_act	Attempt						617	2	endeavour
Attempt_action_scenario	Attempt_action_scenario								5	0	attempt
Attempt_distant_interaction_scenario	Event	Intentionally_act	Attempting_and_resolving_scenario	Attempt_distant_interaction_scenario					0	3	
Attempt_means	Event	Objective_influence	Transitive_action	Intentionally_affect	Using	Attempt_means			26	5	try
Attempt_obtain_food_scenario	Event	Intentionally_act	Attempting_and_resolving_scenario	Attempt_obtain_food_scenario					0	3	
Attempt_obtain_mineral_scenario	Event	Intentionally_act	Attempting_and_resolving_scenario	Attempt_obtain_mineral_scenario					0	3	
Attempt_suasion	Event	Intentionally_act	Attempt	Attempt_suasion					496	3	pressure
Attempting_and_resolving_scenario	Event	Intentionally_act	Attempting_and_resolving_scenario						3	2	attempt
Attending	Event	Intentionally_act	Attending						50	2	attend
Attention	State	Attention							147	1	alert
Attention_getting	Referring_by_name	Attention_getting							3	1	hey
Attitude_description	Attributes	Gradable_attributes	Social_behavior_evaluation	Attitude_description					12	3	optimistic
Attributed_information	Statement	Attributed_information							193	1	according to
Attributes	Attributes								0	0	
Authority	Influencing_potential	Authority							9	1	power
Avoiding	Event	Intentionally_act	Avoiding						356	2	escape
Awareness	Mental_activity	Awareness							1568	1	reckon
Awareness_situation	Awareness_situation								0	0	
Awareness_status	Awareness_situation	Awareness_status							46	1	know
Bail_decision	Event	Intentionally_act	Bail_decision						44	2	bail
Basis_for_attribute	Relation	Basis_for_attribute							1	1	in
Be_in_agreement_on_action	Make_agreement_on_action	Be_in_agreement_on_action							200	1	deal
Be_in_agreement_on_assessment	Attributes	Gradable_attributes	Similarity	Be_in_agreement_on_assessment					60	3	agree
Be_on_alert	State	Process_initial_state	Activity_ready_state	Be_on_alert					22	3	alert
Be_subset_of	Being_included	Be_subset_of							26	1	among
Be_translation_equivalent	Event	Objective_influence	Transitive_action	Creating	Intentionally_create	Translating	Be_translation_equivalent		6	6	translate
Bearing_arms	State	Bearing_arms							60	1	gunman
Beat_opponent	Win_prize	Beat_opponent							162	1	defeat
Becoming	Event	Transition_to_state	Becoming						294	2	become
Becoming_a_member	Event	Intentionally_act	Becoming_a_member						116	2	enter
Becoming_attached	Event	Transition_to_state	Becoming	Transition_to_a_quality	Becoming_attached				40	4	sticking
Becoming_aware	Perception	Becoming_aware							705	1	discovery
Becoming_detached	Event	Transition_to_state	Becoming	Transition_to_a_quality	Becoming_detached				3	4	decouple
Becoming_dry	Event	Transition_to_state	Becoming	Transition_to_a_quality	Becoming_dry				19	4	dry
Becoming_separated	Becoming_separated								37	0	splitting
Becoming_silent	Becoming_silent								51	0	button one's lip
Becoming_visible	Event	Transition_to_state	Becoming	Transition_to_a_quality	Becoming_visible				11	4	appear
Behind_the_scenes	Performing_arts	Behind_the_scenes							260	1	score
Being_active	Attributes	Gradable_attributes	Being_active						82	2	active
Being_at_risk	Attributes	Gradable_attributes	Being_at_risk						168	2	security
Being_attached	Reciprocality	Being_attached							261	1	stick
Being_awake	Being_awake								26	0	awake
Being_born	Event	Coming_to_be	Being_born						52	2	bear
Being_detached	Reciprocality	Being_attached	Being_detached						7	2	loose
Being_dry	Attributes	Gradable_attributes	Being_dry						68	2	dry
Being_employed	Being_employed								366	0	employ
Being_in_captivity	Event	Objective_influence	Transitive_action	Intentionally_affect	Inhibit_movement	Being_in_captivity			8	5	prisoner
Being_in_category	Categorization	Being_in_category							10	1	count
Being_in_control	Event	Objective_influence	Control	Being_in_control					98	3	control
Being_in_effect	Required_event	Obligation_scenario	Being_in_effect						68	2	effective
Being_in_operation	State	Being_in_operation							10	1	on
Being_incarcerated	Being_in_captivity	Being_incarcerated							4	1	behind bars
Being_included	Being_included								0	0	
Being_located	State	Being_located							140	1	situate
Being_named	Being_named								465	0	entitle
Being_necessary	Being_necessary								256	0	essential
Being_obligated	Being_obligated								84	0	task
Being_obligatory	Being_obligatory								177	0	behoove
Being_operational	Possibility	Capability	Being_operational						49	2	broken
Being_questionable	Attributes	Gradable_attributes	Social_behavior_evaluation	Being_questionable					94	3	suspect
Being_relevant	Cognitive_connection	Being_relevant							7	1	relevant
Being_rotted	Attributes	Gradable_attributes	Being_rotted						100	2	mouldy
Being_up_to_it	Possibility	Capability	Being_up_to_it						12	2	to
Being_wet	Attributes	Gradable_attributes	Being_wet						325	2	drench
Besieging	Event	Objective_influence	Transitive_action	Intentionally_affect	Attack	Besieging			30	5	siege
Beyond_compare	Attributes	Gradable_attributes	Position_on_a_scale	Surpassing	Beyond_compare				91	4	without peer
Billing	Event	Getting	Commerce_collect	Billing					12	3	bill
Biological_area	Locale	Biological_area							597	1	desert
Biological_classification	Type	Biological_classification							8	1	genus
Biological_entity	Entity	Biological_entity							9	1	human
Biological_mechanisms	Biological_mechanisms								1	0	increase
Biological_urge	Attributes	Gradable_attributes	Biological_urge						699	2	hungry
Birth_scenario	Event	Birth_scenario							0	1	
Board_vehicle	Ride_vehicle	Board_vehicle							34	1	board
Body_decoration	Entity	Artifact	Body_decoration						119	2	lipstick
Body_description_holistic	Attributes	Gradable_attributes	Body_description_holistic						580	2	brawny
Body_description_part	Attributes	Gradable_attributes	Body_description_part						114	2	blonde
Body_mark	Entity	Physical_entity	Body_mark						248	2	callus
Body_movement	Being_included	Part_piece	Part_whole	Shaped_part	Body_parts	Body_movement			1478	5	jiggle
Body_parts	Being_included	Part_piece	Part_whole	Shaped_part	Body_parts				2794	4	pupil
Bond_maturation	Repayment	Bond_maturation							25	1	mature
Borrowing	Event	Getting	Receiving	Borrowing					25	3	borrow
Boundary	Boundary								29	0	boundary
Bounded_entity	Entity	Physical_entity	Bounded_entity						0	2	
Bounded_region	Image_schema	Bounded_region							0	1	
Bragging	Judgment_communication	Bragging							111	1	boast
Breaking_apart	Breaking_apart								6	0	shatter
Breaking_off	Breaking_off								5	0	chip
Breaking_out_captive	Event	Objective_influence	Transitive_action	Intentionally_affect	Breaking_out_captive				10	4	free
Breathing	Event	Motion	Fluidic_motion	Breathing					274	3	sigh
Bringing	Event	Objective_influence	Transitive_action	Cause_motion	Bringing				513	4	transport
Building	Event	Objective_influence	Transitive_action	Creating	Intentionally_create	Building			604	5	construction
Building_subparts	Locale	Building_subparts							1558	1	lavatory
Buildings	Entity	Artifact	Buildings						1847	2	citadel
Bungling	Event	Intentionally_act	Bungling						113	2	fiasco
Burying	Event	Objective_influence	Transitive_action	Placing	Burying				30	4	bury
Business_closure	Success_or_failure	Endeavor_failure	Business_closure						9	2	went under
Businesses	Commerce_scenario	Businesses							472	1	business
Cache	Aggregate	Store	Cache						45	2	cache
Calendric_unit	Location_in_time	Calendric_unit							1312	1	Day
Candidness	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Candidness		395	6	candid
Capability	Possibility	Capability							755	1	able
Capacity	Possibility	Capability	Capacity						50	2	seat
Capital_stock	Possession	Capital_stock							16	1	common
Cardinal_numbers	Cardinal_numbers								769	0	thirty
Carry_goods	Event	Eventive_affecting	Lose_possession	Giving	Commerce_sell	Carry_goods			21	5	carry
Catastrophe	Event	Eventive_affecting	Catastrophe						316	2	victim
Catching_fire	Catching_fire								32	0	combust
Categorization	Instance	Categorization							558	1	categorisation
Causation	Event	Eventive_affecting	Causation						632	2	bring
Causation_scenario	Alternativity	Conditional_scenario	Causation_scenario						2	2	make
Cause_bodily_experience	Event	Objective_influence	Transitive_action	Cause_bodily_experience					10	3	scratch
Cause_change	Event	Objective_influence	Transitive_action	Cause_change					264	3	turn
Cause_change_of_consistency	Event	Objective_influence	Transitive_action	Cause_change_of_consistency					45	3	thin
Cause_change_of_phase	Event	Objective_influence	Transitive_action	Cause_change_of_phase					77	3	solidify
Cause_change_of_position_on_a_scale	Event	Objective_influence	Transitive_action	Cause_change_of_position_on_a_scale					311	3	increase
Cause_change_of_strength	Event	Objective_influence	Transitive_action	Cause_change_of_strength					95	3	weaken
Cause_emotion	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_emotion				92	4	affront
Cause_expansion	Event	Objective_influence	Transitive_action	Cause_expansion					289	3	swell
Cause_fluidic_motion	Event	Objective_influence	Transitive_action	Cause_motion	Cause_fluidic_motion				149	4	spatter
Cause_harm	Event	Objective_influence	Transitive_action	Cause_bodily_experience	Cause_harm				1294	4	injure
Cause_impact	Event	Objective_influence	Transitive_action	Cause_impact					295	3	slam
Cause_motion	Event	Objective_influence	Transitive_action	Cause_motion					904	3	propel
Cause_proliferation_in_number	Event	Objective_influence	Transitive_action	Cause_change_of_position_on_a_scale	Cause_proliferation_in_number				2	4	proliferation
Cause_temperature_change	Event	Objective_influence	Transitive_action	Cause_temperature_change					160	3	heat
Cause_to_amalgamate	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_amalgamate				186	4	unify
Cause_to_be_dry	Event	Objective_influence	Transitive_action	Cause_to_be_dry					120	3	dehydrate
Cause_to_be_included	Event	Objective_influence	Transitive_action	Cause_to_be_included					56	3	add
Cause_to_be_sharp	Event	Objective_influence	Transitive_action	Cause_to_be_sharp					32	3	sharpen
Cause_to_be_wet	Event	Objective_influence	Transitive_action	Cause_to_be_wet					94	3	soak
Cause_to_continue	Event	Objective_influence	Transitive_action	Cause_to_continue					48	3	keep
Cause_to_end	Event	Objective_influence	Transitive_action	Cause_to_end					98	3	lift
Cause_to_experience	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_experience				25	4	terrorize
Cause_to_fragment	Event	Objective_influence	Transitive_action	Cause_to_fragment					238	3	smash
Cause_to_land	Event	Eventive_affecting	Arriving	Vehicle_landing	Cause_to_land				9	4	land
Cause_to_make_noise	Event	Objective_influence	Transitive_action	Cause_to_make_noise					104	3	toot
Cause_to_make_progress	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_make_progress				307	4	improve
Cause_to_move_in_place	Event	Objective_influence	Transitive_action	Cause_to_move_in_place					89	3	turn
Cause_to_perceive	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive				83	4	point
Cause_to_resume	Event	Objective_influence	Transitive_action	Cause_to_resume					33	3	revive
Cause_to_rot	Event	Objective_influence	Transitive_action	Cause_to_rot					2	3	rot
Cause_to_start	Event	Eventive_affecting	Causation	Cause_to_start					136	3	arouse
Cause_to_wake	Event	Objective_influence	Transitive_action	Cause_to_wake					95	3	wake
Ceasing_to_be	Event	Transition_to_state	Ceasing_to_be						11	2	disappear
Certainty	Attributes	Gradable_attributes	Certainty						592	2	skeptical
Change_accessibility	Event	Objective_influence	Transitive_action	Intentionally_affect	Change_accessibility				58	4	cordon off
Change_direction	Event	Motion	Change_direction						59	2	turn
Change_event_duration	Event	Objective_influence	Transitive_action	Cause_change	Change_event_duration				47	4	prolong
Change_event_time	Event	Objective_influence	Transitive_action	Cause_change	Change_event_time				149	4	postpone
Change_of_consistency	Event	Change_of_consistency							74	1	congeal
Change_of_leadership	Event	Objective_influence	Transitive_action	Intentionally_affect	Appointing	Change_of_leadership			376	5	topple
Change_of_phase	Change_of_phase								134	0	freeze
Change_of_phase_scenario	Change_of_phase_scenario								5	0	freeze
Change_of_quantity_of_possession	Event	Change_position_on_a_scale	Change_of_quantity_of_possession						5	2	lose
Change_of_temperature	Event	Change_position_on_a_scale	Change_of_temperature						31	2	off
Change_operational_state	Event	Objective_influence	Transitive_action	Intentionally_affect	Change_operational_state				77	4	kill
Change_position_on_a_scale	Event	Change_position_on_a_scale							1322	1	climb
Change_post-state	Change_post-state								2	0	unchanged
Change_posture	Event	Intentionally_act	Change_posture						499	2	sit up
Change_resistance	Event	Objective_influence	Transitive_action	Cause_change_of_strength	Change_resistance				2	4	brace
Change_tool	Event	Intentionally_act	Change_tool						12	2	change
Chaos	State	Chaos							88	1	chaos
Chatting	Reciprocality	Chatting							362	1	talk
Chemical-sense_description	Attributes	Gradable_attributes	Chemical-sense_description						387	2	bitter
Chemical_potency	Attributes	Gradable_attributes	Chemical_potency						2	2	strong
Choosing	Deciding	Choosing							111	1	selection
Circumscribed_existence	State	Existence	Circumscribed_existence						16	2	appear
Citing	Citing								10	0	summons
Claim_ownership	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Claim_ownership		54	6	claim
Clemency	Event	Intentionally_act	Clemency						37	2	clemency
Closure	Event	Objective_influence	Transitive_action	Intentionally_affect	Closure				141	4	tie
Clothing	Entity	Artifact	Clothing						3212	2	dress
Clothing_parts	Entity	Artifact	Clothing	Clothing_parts					425	3	sleeve
Co-association	Co-association								2	0	colleague
Cogitation	Mental_activity	Cogitation							517	1	wonder
Cognitive_connection	Cognitive_connection								207	0	associate
Cognitive_impact	Cognitive_impact								43	0	strike
Coincidence	Event	Coincidence							51	1	coincidence
Collaboration	Reciprocality	Collaboration							443	1	confederate
Collocation_image_schema	Image_schema	Collocation_image_schema							0	1	
Colonization	Residence	Colonization							87	1	repopulate
Color	Attributes	Gradable_attributes	Color						202	2	yellow
Color_qualities	Attributes	Gradable_attributes	Color_qualities						92	2	dark
Come_down_with	Event	Eventive_affecting	Come_down_with						6	2	contract
Come_into_effect	Event	Process_start	Come_into_effect						5	2	take effect
Come_together	Event	Come_together							131	1	meet
Coming_to_be	Event	Coming_to_be							210	1	evolution
Coming_to_believe	Event	Coming_to_believe							773	1	inference
Coming_up_with	Event	Eventive_affecting	Coming_up_with						403	2	conceive
Commemorative	Commemorative								14	0	April Fool's Day
Commerce_buy	Event	Getting	Commerce_buy						397	2	buy
Commerce_collect	Event	Getting	Commerce_collect						8	2	collect
Commerce_goods-transfer	Event	Eventive_affecting	Transfer	Commerce_goods-transfer					5	3	buy
Commerce_money-transfer	Event	Eventive_affecting	Transfer	Commerce_money-transfer					6	3	buy
Commerce_pay	Event	Eventive_affecting	Lose_possession	Giving	Commerce_pay				175	4	pay
Commerce_scenario	Commerce_scenario								138	0	price
Commerce_sell	Event	Eventive_affecting	Lose_possession	Giving	Commerce_sell				358	4	auction
Commercial_transaction	Reciprocality	Commercial_transaction							10	1	transaction
Commitment	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Commitment		648	6	promise
Committing_crime	Event	Misdeed	Committing_crime						81	2	crime
Commonality	Reciprocality	Commonality							95	1	common
Communicate_categorization	Categorization	Communicate_categorization							417	1	paint
Communication	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication			125	5	say
Communication_manner	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Communication_manner		911	6	babble
Communication_means	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Communication_means		45	6	cable
Communication_noise	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Communication_noise		1232	6	croon
Communication_response	Event	Eventive_affecting	Response	Communication_response					565	3	acknowledge
Commutation	Event	Intentionally_act	Clemency	Commutation					24	3	commute
Commutative_process	Commutative_process								1	0	add
Commutative_statement	Commutative_statement								1	0	sum
Compatibility	Attributes	Gradable_attributes	Compatibility						386	2	compatible
Competition	Event	Intentionally_act	Competition						201	2	rival
Complaining	Statement	Complaining							239	1	grumble
Completeness	Attributes	Gradable_attributes	Completeness						171	2	complete
Compliance	Satisfying	Compliance							604	1	lawless
Concessive	Event	Objective_influence	Transitive_action	Intentionally_affect	Cause_to_perceive	Communication	Concessive		160	6	however
